ts,ticker,model,n,errors,error_rate,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,tok_per_sec,provider,date,hour_utc,ttft_tail_ratio
2026-08-03T19:53:06.800301+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,75.4,215.0,215.0,266.9,580.5,580.5,133.1,groq,2026-08-03,19,2.851
2026-08-03T19:53:10.775608+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,60.7,152.0,152.0,183.8,377.1,377.1,227.5,groq,2026-08-03,19,2.504
2026-08-03T19:53:16.033473+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,291.7,360.3,360.3,367.1,429.7,429.7,243.2,groq,2026-08-03,19,1.235
2026-08-03T19:54:19.808638+00:00,CBRS,gpt-oss-120b,8,2,0.25,156.9,368.6,368.6,176.9,388.4,388.4,451.0,cerebras,2026-08-03,19,2.349
2026-08-03T21:17:36.988400+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,194.4,231.4,231.4,363.0,417.5,417.5,127.5,groq,2026-08-03,21,1.19
2026-08-03T21:17:40.915835+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,67.9,245.5,245.5,183.0,372.9,372.9,219.8,groq,2026-08-03,21,3.616
2026-08-03T21:17:46.670259+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,342.5,438.5,438.5,409.2,506.3,506.3,221.7,groq,2026-08-03,21,1.28
2026-08-03T21:18:50.156705+00:00,CBRS,gpt-oss-120b,8,2,0.25,162.9,195.5,195.5,174.3,215.3,215.3,494.2,cerebras,2026-08-03,21,1.2
2026-08-03T23:16:42.433610+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,236.0,243.4,243.4,378.1,443.0,443.0,128.0,groq,2026-08-03,23,1.031
2026-08-03T23:16:46.959495+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,121.8,244.0,244.0,260.3,370.8,370.8,173.0,groq,2026-08-03,23,2.003
2026-08-03T23:16:52.006382+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,240.0,367.8,367.8,316.8,434.8,434.8,239.6,groq,2026-08-03,23,1.532
2026-08-03T23:17:56.250759+00:00,CBRS,gpt-oss-120b,8,2,0.25,178.6,934.7,934.7,203.1,948.8,948.8,291.9,cerebras,2026-08-03,23,5.233
2026-08-04T03:32:33.490821+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,175.7,202.7,202.7,360.3,391.3,391.3,143.4,groq,2026-08-04,3,1.154
2026-08-04T03:32:37.263880+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,46.4,106.9,106.9,152.2,264.5,264.5,272.7,groq,2026-08-04,3,2.304
2026-08-04T03:32:42.401923+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,231.9,441.7,441.7,304.1,507.6,507.6,239.5,groq,2026-08-04,3,1.905
2026-08-04T03:33:45.789887+00:00,CBRS,gpt-oss-120b,8,2,0.25,126.2,245.2,245.2,153.3,260.5,260.5,520.9,cerebras,2026-08-04,3,1.943
2026-08-04T06:37:49.500580+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,72.9,234.3,234.3,272.1,474.0,474.0,150.0,groq,2026-08-04,6,3.214
2026-08-04T06:37:53.649676+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,70.3,216.2,216.2,180.6,386.5,386.5,223.6,groq,2026-08-04,6,3.075
2026-08-04T06:37:58.548063+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,235.6,296.5,296.5,300.8,366.6,366.6,259.9,groq,2026-08-04,6,1.258
2026-08-04T06:38:00.966201+00:00,QWEN,qwen/qwen3-32b,6,6,1.0,,,,,,,,groq,2026-08-04,6,
2026-08-04T06:39:04.363572+00:00,CBRS,gpt-oss-120b,8,2,0.25,150.0,228.3,228.3,170.2,242.4,242.4,581.1,cerebras,2026-08-04,6,1.522
2026-08-04T09:47:10.663669+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,208.0,272.1,272.1,386.6,461.5,461.5,122.4,groq,2026-08-04,9,1.308
2026-08-04T09:47:15.502481+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,155.1,238.3,238.3,281.5,413.5,413.5,152.0,groq,2026-08-04,9,1.536
2026-08-04T09:47:20.272958+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,230.1,259.6,259.6,305.4,350.5,350.5,244.8,groq,2026-08-04,9,1.128
2026-08-04T09:48:24.252231+00:00,CBRS,gpt-oss-120b,8,2,0.25,168.8,379.2,379.2,193.1,387.8,387.8,410.9,cerebras,2026-08-04,9,2.246
2026-08-04T12:15:13.183230+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,291.8,591.5,591.5,423.0,780.6,780.6,96.8,groq,2026-08-04,12,2.027
2026-08-04T12:15:17.840178+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,67.1,471.1,471.1,211.7,792.1,792.1,158.0,groq,2026-08-04,12,7.021
2026-08-04T12:15:22.740570+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,233.7,290.9,290.9,302.0,368.7,368.7,270.0,groq,2026-08-04,12,1.245
2026-08-04T12:15:25.115870+00:00,QWEN,qwen/qwen3-32b,6,6,1.0,,,,,,,,groq,2026-08-04,12,
2026-08-04T12:15:38.995578+00:00,GMNI,gemini-2.5-flash,6,0,0.0,1621.8,1715.5,1715.5,1621.8,1715.5,1715.5,5.9,google,2026-08-04,12,1.058
2026-08-04T12:16:43.737918+00:00,CBRS,gpt-oss-120b,8,2,0.25,126.4,229.2,229.2,143.7,252.7,252.7,541.1,cerebras,2026-08-04,12,1.813
2026-08-04T12:17:04.351395+00:00,OPRT,google/gemma-4-31b-it:free,6,5,0.8333,2472.9,2472.9,2472.9,3069.8,3069.8,3069.8,11.1,openrouter,2026-08-04,12,1.0
2026-08-04T15:32:55.101936+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,219.9,481.4,481.4,386.7,528.4,528.4,116.6,groq,2026-08-04,15,2.189
2026-08-04T15:32:59.248609+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,77.7,114.8,114.8,189.3,275.4,275.4,241.9,groq,2026-08-04,15,1.477
